stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
762012948,,Nydalsveien,,59.9474410,10.7639450,,,0,
762012950,,Rundhaugen,,59.9685940,10.7959020,,,0,
762012951,,Rundhaugen,,59.9686050,10.7957770,,,0,
762012953,,Rønningen,,59.9667400,10.7956230,,,0,
762012954,,Rønningen,,59.9667400,10.7954970,,,0,
762012957,,Skibakken,,59.9594650,10.7640820,,,0,
762012958,,Skibakken,,59.9590800,10.7641870,,,0,
762012960,,Stillatorvet,,59.9658160,10.7775690,,,0,
762012961,,Stillatorvet,,59.9665180,10.7754390,,,0,
762012963,,Svensenga,,59.9637030,10.7703980,,,0,
762012964,,Svensenga,,59.9632380,10.7695850,,,0,
762012966,,Tamburveien,,59.9513320,10.7686100,,,0,
762012967,,Tamburveien,,59.9510920,10.7684720,,,0,
762012969,,Trollveiskrysset,,59.9584470,10.7982540,,,0,
762012970,,Trollveiskrysset,,59.9583970,10.7981260,,,0,
762012972,,Tåsen allé,,59.9441300,10.7481760,,,0,
762012975,,Yrkesskolen,,59.9510880,10.7287560,,,0,
762012976,,Yrkesskolen,,59.9511380,10.7289020,,,0,
762012978,,Øvre Stabburvei,,59.9542660,10.7606540,,,0,
762012979,,Øvre Stabburvei,,59.9538500,10.7608820,,,0,
762012986,,Disen,,59.9461630,10.7869010,,,0,
762012987,,Disen,,59.9463620,10.7876090,,,0,
762012991,,Gaustadalléen,,59.9456220,10.7174430,,,0,
762012992,,Gaustadalléen,,59.9458080,10.7176140,,,0,
762012994,,Glads vei,,59.9515950,10.7857430,,,0,
762012995,,Glads vei,,59.9517630,10.7853220,,,0,
762012997,,Grefsen stadion,,59.9604570,10.7845900,,,0,
762012998,,Grefsen stadion,,59.9600720,10.7857150,,,0,
762012999,,Grefsen stadion,,59.9601250,10.7845540,,,0,
762013002,,Universitetet Blindern,,59.9421810,10.7243900,,,0,
762013003,,Universitetet Blindern,,59.9419460,10.7251830,,,0,
762013005,,Heia,,59.9650150,10.7962270,,,0,
762013006,,Heia,,59.9649090,10.7961320,,,0,
762013009,,Kongleveien,,59.9607160,10.7341300,,,0,
762013010,,Kongleveien,,59.9613800,10.7363310,,,0,
762013013,,Nygård,,59.9527020,10.7607680,,,0,
762013015,,Østhellinga,,59.9472050,10.7493580,,,0,
762013016,,Østhellinga,,59.9461940,10.7491620,,,0,
762013018,,Solvang,,59.9537050,10.7278720,,,0,
762013019,,Solvang,,59.9541210,10.7290030,,,0,
762013021,,Brekke,,59.9692690,10.7739730,,,0,
762013031,,John Colletts plass,,59.9408760,10.7295130,,,0,
762013032,,John Colletts plass,,59.9408490,10.7299590,,,0,
762013033,,John Colletts plass,,59.9398380,10.7291010,,,0,
762013034,,John Colletts plass,,59.9399600,10.7293410,,,0,
762013044,,Grefsen stasjon,,59.9416200,10.7803280,,,0,
762013046,,Grefsen stasjon,,59.9411580,10.7816910,,,0,
762013047,,Grefsen stasjon,,59.9406050,10.7814460,,,0,
762013051,,Nydalen stasjon,,59.9523120,10.7691330,,,0,
762013052,,Nydalen stasjon,,59.9526980,10.7698650,,,0,
762013053,,Nydalen stasjon,,59.9531170,10.7693850,,,0,
762013055,,Kjelsås stasjon,,59.9662250,10.7832520,,,0,
762013056,,Kjelsås stasjon,,59.9657550,10.7819010,,,0,
762013058,,Kjelsås stasjon,,59.9658740,10.7825520,,,0,
